Imagen,MSE,PSNR
172,2.14125e-05,94.82412992141646
256,2.6181242e-05,93.95090142810866
386,3.169294e-05,93.12117808835944
24,3.869085e-05,92.25472104373038
12,4.233336e-05,91.86397636746564
353,4.4633423e-05,91.63420135460046
86,4.6005942e-05,91.50266457683928
152,4.6315283e-05,91.47356062530218
159,4.6743946e-05,91.43354980976646
198,4.8956572e-05,91.23269335363263
377,5.0092458e-05,91.13308004718493
17,5.029569e-05,91.11549581538546
293,5.0894072e-05,91.06413149888908
291,5.244843e-05,90.93347881822473
290,5.5430624e-05,90.69330571043993
311,5.6328223e-05,90.62354326927947
262,5.634318e-05,90.62239006467613
131,5.8767753e-05,90.43941287776589
368,5.935141e-05,90.3964933643747
330,6.2665895e-05,90.16049095829955
78,6.2782885e-05,90.15239124804651
191,6.306629e-05,90.13283092763425
217,6.367482e-05,90.0911256814792
104,6.413105e-05,90.06011981130109
309,6.444128e-05,90.0391625501982
68,6.537156e-05,89.97691461998004
11,6.676593e-05,89.8852542978662
111,6.931038e-05,89.7228211251079
96,6.9458794e-05,89.71353117418013
317,7.047516e-05,89.65044318717185
207,7.20363e-05,89.55528957298031
85,7.304815e-05,89.49471160101544
334,7.3127325e-05,89.4900069941701
283,7.332053e-05,89.47854758123903
108,7.3731564e-05,89.45426925690994
30,7.545389e-05,89.35398754721278
189,7.6731914e-05,89.2810431988982
314,7.827798e-05,89.1944075318056
224,8.0436344e-05,89.07628067634806
298,8.172953e-05,89.00701361875915
375,8.383106e-05,88.8967543158742
286,8.485445e-05,88.84405756312619
138,8.5604304e-05,88.80584750108216
316,8.735797e-05,88.71777836042054
181,8.8063105e-05,88.682863700721
64,8.988544e-05,88.59391029283658
304,9.084292e-05,88.54789275434585
179,9.214107e-05,88.48627093921742
354,9.241656e-05,88.47330596846427
343,9.255404e-05,88.46685007237215
350,9.2622446e-05,88.46364115381522
33,9.359246e-05,88.41839463975447
348,9.484562e-05,88.36063060534298
326,9.6793156e-05,88.27235731187076
39,9.7247685e-05,88.25201129006439
240,9.9836325e-05,88.13791807655961
210,0.000101623365,88.06086799214884
268,0.00010423364,87.95072456016348
357,0.00010546196,87.8998457147761
307,0.000105578874,87.8950333503095
227,0.00010657551,87.8542296692342
59,0.000108438384,87.7789728745527
209,0.000108932945,87.75921120621739
333,0.00011000273,87.71676897499287
226,0.000110993205,87.67783954623542
121,0.00011245107,87.62116763441959
110,0.00011661243,87.4633552342763
129,0.000116951815,87.45073376914348
66,0.00012083641,87.30882555390947
155,0.00012107961,87.30009340566119
196,0.00012190435,87.27061158392411
345,0.00012260082,87.2458696262376
88,0.00012302602,87.2308334323755
124,0.00012388855,87.2004922300944
289,0.00012403762,87.19526975511307
312,0.00012523704,87.15347539138088
248,0.00012778497,87.06600575775782
351,0.00013013426,86.98688759019623
242,0.00013145492,86.94303527351707
208,0.00013409366,86.85672136374968
300,0.00013467255,86.83801284765315
347,0.00013541996,86.81397639204727
318,0.00013698265,86.76414797047939
164,0.00013846582,86.71737788849718
308,0.00013952638,86.68423994128315
109,0.00014009303,86.66663834050993
310,0.00014014478,86.6650344335759
