Imagen,MSE,PSNR
198,0.01592638,66.10963254752484
353,0.0140021825,66.66884602494017
179,0.013913631,66.69639866151041
305,0.013326636,66.88359849532316
240,0.013070812,66.96777775278156
317,0.012997844,66.992090104514
257,0.012920572,67.01798612155265
386,0.012907024,67.02254252031352
318,0.012142703,67.28765012020604
64,0.011852187,67.39281869627463
210,0.011502779,67.52277572710229
30,0.011460547,67.53875025412364
85,0.011451994,67.54199222875988
172,0.0112807825,67.60741128089633
377,0.011266986,67.61272604698097
17,0.011253329,67.61799343296194
104,0.01103218,67.70419000856499
256,0.010994542,67.71903174576845
24,0.010964603,67.73087435052287
68,0.010925662,67.74632580042457
129,0.010811504,67.79194262638796
159,0.01075842,67.81331869182551
12,0.010733621,67.82334091266685
73,0.0106441025,67.8597130421964
154,0.010558374,67.89483291265479
291,0.010486481,67.92450577312333
96,0.010397982,67.96131316098544
218,0.010374133,67.97128596165139
286,0.010370428,67.97283704486438
95,0.010339843,67.98566426757468
207,0.010328177,67.99056676232146
86,0.010299097,68.00281248102011
268,0.010171331,68.05702559100857
5,0.010150168,68.06607150896643
293,0.010090571,68.09164615964067
105,0.009990051,68.13512621707397
323,0.009976191,68.14115562005202
283,0.009958129,68.14902624112132
225,0.009903417,68.17295280624212
351,0.009900262,68.17433674893078
150,0.00988554,68.18079958406639
391,0.009831285,68.20470038836453
124,0.009705622,68.26057012763519
224,0.009656565,68.2825768700078
190,0.009589005,68.31306815245637
196,0.009579769,68.31725314400538
326,0.009561783,68.3254147512355
289,0.009481553,68.36200855789008
227,0.009414654,68.39275978016073
368,0.009373763,68.4116640820201
347,0.009351766,68.42186744147601
181,0.009248663,68.4700139133381
11,0.009146093,68.51844702308702
48,0.009141991,68.52039541791737
186,0.009117492,68.53205024273083
327,0.009099516,68.54062049702398
157,0.009095713,68.54243612458829
304,0.00908323,68.54840064845595
277,0.009078838,68.55050111953763
136,0.00907375,68.55293566653548
290,0.009063944,68.55763143271072
89,0.009016896,68.58023309473765
309,0.009008751,68.5841574673251
108,0.008953955,68.61065464890441
131,0.008950982,68.6120964442758
333,0.008893365,68.64014273544115
316,0.008870387,68.6513774505141
152,0.008847161,68.66276431924062
226,0.008836791,68.66785786481313
153,0.008830296,68.67105137066528
59,0.008829239,68.67157065011982
195,0.00880836,68.68185312703214
33,0.008763713,68.70392215563898
184,0.0087250285,68.72313498534923
117,0.008716587,68.72733865410038
66,0.008663071,68.75408502463708
354,0.008638687,68.76632595380275
270,0.008608002,68.78177958178586
