Imagen,MSE,PSNR
42,1.198575e-09,137.344151110565
70,3.0628797e-10,143.26950433241046
54,2.7917987e-10,143.67196264148663
212,2.5801464e-10,144.0143605574258
106,2.3874808e-10,144.35140495684888
20,2.0512446e-10,145.01062902420108
157,2.0041911e-10,145.11141251203966
340,1.9881645e-10,145.14628070249455
289,1.9471617e-10,145.23678352323907
209,1.9075955e-10,145.3259408085341
228,1.8408541e-10,145.4806096265352
196,1.7184368e-10,145.7794677377168
78,1.6694646e-10,145.90503132484443
168,1.5696072e-10,146.1728935842633
97,1.4527615e-10,146.50886026728966
216,1.4184612e-10,146.61262906142105
125,1.3912811e-10,146.69665493073543
32,1.3266449e-10,146.90325658901313
64,1.2834683e-10,147.04695201205215
30,1.221702e-10,147.26115090845914
219,1.189721e-10,147.3763528281768
81,1.1779408e-10,147.41956931121075
164,1.14828896e-10,147.53029149706936
240,1.1417362e-10,147.55514580091665
354,1.1396488e-10,147.56309341343228
327,1.1020272e-10,147.70888073718015
311,1.1004271e-10,147.71519065541685
379,1.092951e-10,147.7447966897674
207,1.08923634e-10,147.7595827581178
109,1.07775164e-10,147.805616634123
17,1.0652637e-10,147.85623219675784
184,1.0592414e-10,147.88085386094556
336,1.04454306e-10,147.94153976432415
239,1.0363607e-10,147.97569391197356
169,1.0291215e-10,148.00613671982822
227,1.02589645e-10,148.01976799588456
244,1.01636116e-10,148.0603228326585
199,1.01367206e-10,148.07182889111297
292,1.0020876e-10,148.12174672474472
116,9.8210065e-11,148.20924381425056
73,9.766881e-11,148.23324465587518
391,9.48545e-11,148.360224075095
194,9.404036e-11,148.39766080209043
162,9.166277e-11,148.50887435415032
384,9.059753e-11,148.55964033707866
9,8.9497215e-11,148.612708650765
267,8.863643e-11,148.6546807087304
191,8.7337734e-11,148.71878397861101
10,8.5813065e-11,148.79526905514015
262,8.304418e-11,148.93771183787922
110,8.216476e-11,148.98394758948234
363,8.1399595e-11,149.02458158188637
345,8.090356e-11,149.05112724752
270,8.083615e-11,149.0547473742727
318,8.037503e-11,149.07959219196474
305,7.925382e-11,149.14060146746564
257,7.4451154e-11,149.41208937349413
287,7.444274e-11,149.41258011843024
102,7.362176e-11,149.460741835618
303,7.250013e-11,149.52741534288552
96,7.202296e-11,149.55609393031582
158,7.124598e-11,149.60319949320012
320,7.071999e-11,149.63538135457307
77,6.972142e-11,149.69714135794243
361,6.8774646e-11,149.7565197467882
12,6.849017e-11,149.77452114446837
117,6.835303e-11,149.78322626201714
324,6.6841754e-11,149.8803251671918
375,6.609853e-11,149.92888535951624
281,6.5813494e-11,149.94765398559173
103,6.46432e-11,150.02557503175743
387,6.436519e-11,150.0442930430993
174,6.355665e-11,150.09919293065076
131,6.2557036e-11,150.16804195393001
82,6.179567e-11,150.2212224653842
11,6.1565e-11,150.2374642313919
186,6.116616e-11,150.2656916666872
315,6.052117e-11,150.31173000687957
308,5.933685e-11,150.39755854704282
166,5.902619e-11,150.42035643351494
108,5.902148e-11,150.4207029554138
312,5.843237e-11,150.46426900580218
173,5.785665e-11,150.50727051415453
377,5.7309026e-11,150.54857350046723
58,5.7098007e-11,150.56459437893983
140,5.557146e-11,150.682285320778
4,5.394513e-11,150.81128102782864
49,5.3638857e-11,150.83600857199843
24,5.2219857e-11,150.952447103854
226,5.2069522e-11,150.96496771217346
277,5.2063354e-11,150.96548226907476
60,5.1937413e-11,150.9760006872683
44,5.155179e-11,151.00836587162246
325,4.9782067e-11,151.1600744633945
317,4.9089337e-11,151.2209318513228
128,4.9064475e-11,151.22313190441832
253,4.7372745e-11,151.3755179754682
163,4.6810965e-11,151.42732759300884
202,4.5934104e-11,151.50945103204367
220,4.5711258e-11,151.5305721720406
334,4.568241e-11,151.53331374276462
368,4.5107987e-11,151.5882694424612
85,4.4751522e-11,151.62272560000525
280,4.4683666e-11,151.62931571146194
215,4.437035e-11,151.65987493558106
19,4.4353514e-11,151.66152356886008
333,4.3561356e-11,151.7397899364821
214,4.3136883e-11,151.7823161772607
397,4.2628727e-11,151.83377999618403
398,4.228417e-11,151.86902553151862
66,4.223039e-11,151.8745524645016
150,4.2070066e-11,151.89107157525055
135,4.1681356e-11,151.93138520047705
222,4.1484274e-11,151.95196869110515
55,4.146078e-11,151.95442881456506
104,4.137117e-11,151.9638255247465
179,4.0955534e-11,152.0076774094579
283,4.0518564e-11,152.05426332177774
381,4.000755e-11,152.10938386788587
