Imagen,MSE,PSNR
182,0.0010250998,78.02314237308346
40,0.0011102981,77.67640795232315
383,0.0011217355,77.63189915404239
322,0.0012259941,77.24592013389969
47,0.0012289047,77.23562133506887
367,0.0012447962,77.17982109780498
143,0.0012574071,77.13604474215389
352,0.0013101178,76.95769997688927
313,0.0013149019,76.94186982163758
211,0.0013376168,76.86748654603788
250,0.0013432484,76.84924056441717
98,0.0013704945,76.76203037760587
178,0.001380034,76.73190526440595
237,0.001382493,76.72417402393677
395,0.0013953347,76.68401976065847
130,0.0014002982,76.66859803533518
331,0.001405428,76.65271769365474
285,0.0014195121,76.60941272036845
272,0.0014205697,76.60617812740962
246,0.0014383838,76.55205605801358
276,0.0014547626,76.50288212323035
259,0.0014559824,76.49924258842388
134,0.0014710149,76.45463291762995
201,0.0014714892,76.45323255996638
254,0.0014762435,76.43922370119908
45,0.0014782757,76.43324893575495
382,0.0014814446,76.42394937973111
3,0.0014835976,76.41764235217795
2,0.0014838558,76.4168863205329
99,0.0014864674,76.40924989110384
94,0.0014945053,76.38582920214989
192,0.0015121667,76.33480681760376
388,0.0015128203,76.33293063878043
18,0.001517586,76.31927046934699
87,0.0015265644,76.2936523673722
115,0.0015332222,76.27475268693252
76,0.0015366047,76.26518204472308
27,0.0015367569,76.26475199336632
83,0.0015395548,76.2568522474762
278,0.0015447175,76.24231323206415
359,0.0015540782,76.21607530824826
288,0.0015751496,76.15758539371853
16,0.0015757873,76.15582780064031
269,0.0015787923,76.14755330652568
23,0.001585546,76.12901565984424
329,0.0015905596,76.11530385277126
273,0.0015940343,76.10582696928994
55,0.0015940715,76.10572566377772
158,0.0015990499,76.09218324883555
184,0.0015995943,76.09070500866048
84,0.001616214,76.045815172308
180,0.0016184575,76.03979040588207
137,0.001628075,76.01405925075927
26,0.0016311291,76.00592025394042
35,0.0016433342,75.97354488184457
340,0.0016497253,75.95668731200516
396,0.0016556621,75.9410869521091
244,0.0016586261,75.93331871855999
310,0.0016630443,75.92176546882042
91,0.0016641854,75.91878655466788
228,0.0016862254,75.8616475831922
379,0.0016871828,75.85918233551884
336,0.0016895598,75.85306832710208
249,0.0016960258,75.83647888412882
260,0.0016976038,75.83243974063643
53,0.0016998856,75.8266066434395
80,0.0017036361,75.81703488179349
275,0.0017054006,75.81253933273737
213,0.0017075668,75.80702652749808
299,0.0017128538,75.7936006753871
46,0.0017153505,75.7872748190343
49,0.0017174769,75.78189435596111
119,0.0017218122,75.7709461273873
97,0.0017221307,75.77014219389665
28,0.0017229029,75.7681954392041
141,0.0017256623,75.76124541332725
255,0.0017259468,75.76052960930447
62,0.001729084,75.75264253645892
77,0.0017293523,75.7519686799615
230,0.001747974,75.70545365360678
139,0.0017639947,75.66583101490164
271,0.0017654615,75.66222082128284
128,0.0017697825,75.65160459717164
279,0.001775217,75.63828917951886
126,0.00177852,75.63021610914224
363,0.0017797282,75.6272664783751
215,0.0017897381,75.60290917116811
163,0.0017908516,75.60020735499668
114,0.001791737,75.59806057248629
344,0.0017921114,75.59715324239976
266,0.0017921389,75.5970867442594
166,0.0017949422,75.59029896939006
50,0.0018074156,75.5602235927273
79,0.0018120005,75.54922039849262
75,0.001813755,75.54501706509244
175,0.0018157468,75.54025078380805
67,0.0018217695,75.52586905870818
295,0.0018251461,75.51782704518146
200,0.0018387907,75.48548045385827
153,0.0018451392,75.47051257834217
102,0.001846615,75.46703987105404
241,0.0018487481,75.46202643905292
325,0.0018538504,75.45005634674519
337,0.0018607762,75.43386204767715
233,0.0018617928,75.43149051056045
21,0.0018707439,75.41066052788715
389,0.0018768017,75.39661932623252
19,0.00189369,75.35771516752409
120,0.0018945921,75.35564681089758
171,0.0018962217,75.35191282334237
400,0.0018967772,75.35064078017959
140,0.0018998056,75.34371171426763
167,0.0019002768,75.34263534589952
193,0.0019008646,75.34129192839055
393,0.0019022119,75.33821472680589
69,0.0019061447,75.3292453450563
346,0.0019097069,75.32113668251631
223,0.0019153722,75.30827214780503
374,0.0019169236,75.30475578971833
133,0.0019197094,75.29844883612489
197,0.0019205491,75.29654959470935
6,0.0019245672,75.28747264570279
342,0.001929105,75.27724477686004
358,0.0019318269,75.27112119339414
112,0.0019416461,75.24910315824428
57,0.0019438631,75.24414713188811
41,0.0019445346,75.24264715351978
332,0.0019591663,75.21009093300259
394,0.001960149,75.2079127187161
366,0.001965105,75.19694589100212
231,0.001969594,75.18703616951512
74,0.0019705463,75.18493734924584
81,0.0019707412,75.18450729585564
247,0.0019722877,75.18110115060163
183,0.0019737796,75.17781724161223
371,0.0019846014,75.15407065489015
