Imagen,MSE,PSNR
167,0.002001139,75.1180306320284
168,0.0025680885,74.03470353144452
169,0.0020588273,74.99460406956277
170,0.002497228,74.15622146005782
171,0.0018092371,75.55584909324827
172,0.00626684,70.16031785398886
173,0.0025885648,74.00021324768173
174,0.0027366295,73.75864387154681
175,0.0017685137,75.65471946859215
176,0.0027537588,73.73154473795361
177,0.0019412445,75.2500012864092
178,0.0014401583,76.54670148936164
179,0.0028773188,73.5409237817212
180,0.0017458326,75.71077766588618
181,0.0029986673,73.36152097509066
182,0.0010508468,77.9154092516904
183,0.0018590575,75.4378753352153
184,0.0015617108,76.19479749500977
185,0.0028028642,73.6547832345091
186,0.0026941819,73.82653451028082
187,0.002432129,74.27093712424907
188,0.0020628537,74.98611919882285
189,0.0036928908,72.45713903758697
190,0.0037092832,72.43790374935915
191,0.0035267193,72.65709488098149
192,0.0015663332,76.18196175917804
193,0.001947139,75.23683388295488
194,0.0025270372,74.10468729347227
195,0.0025211044,74.11489558493771
196,0.0032552104,73.00501274986958
197,0.0018873935,75.37217916863726
198,0.0039459676,72.16926803835162
199,0.0022850966,74.54175815985647
200,0.0018853319,75.37692562472651
201,0.0014255696,76.59091958075537
202,0.0020932986,74.92249159771004
203,0.0024167378,74.29850821352335
204,0.0025268905,74.10493961888236
205,0.0029685835,73.40531071984593
206,0.0021456631,74.81518832538976
207,0.0036273312,72.53493128824626
208,0.0031022527,73.21403194146366
209,0.003930101,72.18676633137653
210,0.003669162,72.48513480001958
211,0.0013546878,76.81241129886529
212,0.0024970858,74.15646881173966
213,0.0017030574,75.81851039295265
214,0.002747043,73.74214890691788
215,0.001749287,75.70219288530798
216,0.00255406,74.05849257582963
217,0.0029743651,73.39686092833217
218,0.0032562958,73.0035649800951
219,0.002319724,74.47644019448245
220,0.0036180231,72.54609026421224
221,0.0024658472,74.21114219804704
222,0.0030317008,73.31394031121076
223,0.0019515409,75.22702726346905
224,0.0037434865,72.39804096314957
225,0.0025991541,73.98248300291138
226,0.0030592603,73.27463921838999
227,0.0032894486,72.95957289105588
228,0.0017414277,75.72174951888901
229,0.0023436504,74.43187498535211
230,0.0017365931,75.73382301701473
231,0.0019816211,75.16059705929821
232,0.0029042065,73.50052869111711
233,0.0019129612,75.31374207440699
234,0.0028819586,73.53392615729541
235,0.002135975,74.83484172070709
236,0.0024542005,74.2317034786578
237,0.00142428,76.59484980942179
238,0.0023291232,74.4588789822929
239,0.0028381406,73.60046436883658
240,0.0032180452,73.05488242338977
241,0.0018075281,75.55995340412424
242,0.0031410512,73.1600535129549
243,0.0022700215,74.57050404804973
244,0.0016603647,75.92876894854746
245,0.0021314211,74.84411073455344
246,0.0014827477,76.42013100110118
247,0.0019880128,75.14661147897885
248,0.0032397078,73.02574519910735
249,0.0017064149,75.80995716850009
250,0.0013442944,76.84585983409295
251,0.0030850316,73.2382073503206
252,0.0022055493,74.69563620566623
253,0.0020118211,75.09490984562892
254,0.0014756919,76.44084669821734
255,0.0017315259,75.74651361235887
256,0.005131837,71.02807511827498
257,0.0020921626,74.92484910518178
258,0.0022385279,74.6311786488515
259,0.0014703316,76.45665117954331
260,0.0016690324,75.90615636563749
261,0.0025965725,73.98679930012824
262,0.004225496,71.87202605934857
263,0.0027011908,73.815250973108
264,0.0022207284,74.66584903415324
265,0.002008079,75.10299551916312
266,0.0017450061,75.71283397813956
267,0.0028676852,73.55548882683956
268,0.003367509,72.85771623885081
269,0.0015977013,76.09584797427958
270,0.002932798,73.45798228716289
271,0.0016808254,75.87557767211736
272,0.0014134347,76.62804601555447
273,0.0015927119,76.10943097235558
274,0.0026947313,73.82564871592979
275,0.0016440332,75.97169804438462
276,0.0014683126,76.4626184258067
277,0.0031082542,73.20563842230354
278,0.0015805548,76.14270845205213
279,0.0018474688,75.4650326453724
280,0.003280031,72.97202409956037
281,0.003293091,72.95476633232983
282,0.002494969,74.1601520769854
283,0.0044913376,71.60704647397533
284,0.0026084995,73.96689579937136
285,0.001336458,76.87125009909894
286,0.003297433,72.94904389421329
287,0.002750416,73.73681959922136
288,0.0015854491,76.12928057649385
289,0.0034815841,72.71303448826407
290,0.003931606,72.18510346815324
291,0.0039037874,72.21594191122756
292,0.0029703758,73.4026897224698
293,0.0034326282,72.77453598416739
294,0.002237075,74.63399814595876
295,0.001883428,75.38131380302002
296,0.0025484643,74.06801787772183
297,0.0027616282,73.71915168015505
298,0.003381874,72.83922929778305
299,0.0016809544,75.8752446161218
300,0.003118959,73.19070693066053
301,0.002544758,74.07433882211377
302,0.0029075714,73.49549976437365
303,0.0023008883,74.51184825446155
304,0.003499598,72.69062184908233
305,0.0021957303,74.7150137404757
306,0.0025499724,74.06544862417255
307,0.0034962096,72.69482908491669
308,0.003379919,72.84174074370438
309,0.0038370995,72.29077317851007
310,0.0015531321,76.21871951154021
311,0.0042624474,71.83421365284319
312,0.0032432089,73.0210541639126
313,0.0012957077,77.00573373453622
314,0.0029976864,73.36294160278004
315,0.0025917068,73.99494509772114
316,0.003281179,72.97050442798405
317,0.0039235745,72.19398505128859
318,0.0024146677,74.30222983056028
319,0.0019194995,75.29892371137413
320,0.0024255242,74.28274737737752
321,0.0027120705,73.79779388659423
322,0.0012113092,77.29825351644786
323,0.0022231082,74.66119763288718
324,0.0026309085,73.92974621776987
325,0.0019003857,75.3423859444016
326,0.0026392126,73.91605950420585
327,0.002497013,74.15659572790236
328,0.0028615082,73.56485353405155
329,0.0016005021,76.08824102515442
330,0.0035742004,72.59901454161388
331,0.0014088345,76.6422035155686
332,0.0019344501,75.26522851402801
333,0.0028772505,73.54102693407116
334,0.0035066826,72.6818391806963
335,0.0026683242,73.86841752854332
336,0.001654473,75.94420637437753
337,0.0018522561,75.45379292635492
338,0.0026899138,73.83342010587154
339,0.0024521227,74.23538154675082
340,0.0017015081,75.822463834275
341,0.0020165348,75.08474613428271
342,0.0018859713,75.37545320828427
343,0.003537074,72.6443620030228
344,0.0018131683,75.54642276291325
345,0.0024210736,74.29072384844032
346,0.0018663813,75.42079963559836
347,0.002405428,74.31887976240614
348,0.0036424345,72.51688590706442
349,0.0022104697,74.68595777540762
350,0.0035600616,72.61622875374387
351,0.0034242314,72.78517226935568
352,0.001298296,76.99706618152818
353,0.0045817504,71.52048924938794
354,0.0032223854,73.049028685432
355,0.002407755,74.31468082024377
356,0.0020145434,75.08903742228819
357,0.0027168565,73.79013623569683
358,0.0019322917,75.27007660165262
359,0.0016161029,76.04611378370649
360,0.0035490487,72.62968406002801
361,0.0022266866,74.6542128551473
362,0.002545611,74.07288353292778
363,0.0017208394,75.77340049524597
364,0.0019577134,75.2133124751936
365,0.002422837,74.28756130535598
366,0.0020113012,75.09603242587852
367,0.0010996234,77.71836360302738
368,0.0039733425,72.13924390849631
369,0.0026959917,73.82361815045091
370,0.0022408299,74.62671460714805
371,0.001998683,75.12336464969424
372,0.002353473,74.41371119045048
373,0.002200893,74.70481433226382
374,0.0019905958,75.14097234382392
375,0.0038511236,72.27492920128753
376,0.0029355837,73.45385876679954
377,0.003672876,72.4807411785265
378,0.0020327773,75.04990557907607
379,0.0016880621,75.85691939876548
380,0.002447384,74.24378226567305
381,0.0023486412,74.42263677603569
382,0.0015000282,76.36980956574229
383,0.0011215184,77.63273971549955
384,0.002193525,74.71937762901194
385,0.002469603,74.20453212050805
386,0.004858755,71.26555350834194
387,0.0019872675,75.1482401313284
388,0.0016542277,75.94485075978218
389,0.0018579268,75.44051735902485
390,0.002560844,74.04697227120613
391,0.0023944806,74.33869016536528
392,0.0025048407,74.14300228288356
393,0.0019042921,75.3334678683556
394,0.0019984955,75.12377141974083
395,0.0012526532,77.1524954850492
396,0.0017170731,75.78291567691574
397,0.0024851314,74.1773098360497
398,0.0022006184,74.70535647178018
399,0.0026760024,73.85593848971482
400,0.001867876,75.41732278532064
